measurementID,eventID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,measurementRemarks
GoA2019_Stn1:cast1:niskin:5:P1:acid,GoA2019_Stn1:cast1:niskin:5:P1,acidified,http://vocab.nerc.ac.uk/collection/S03/current/S0366,no,NA,NA,NA
GoA2019_Stn1:cast1:niskin:5:P1:d13C,GoA2019_Stn1:cast1:niskin:5:P1,d13C_VPDB,http://vocab.nerc.ac.uk/collection/P01/current/D13COPXX/,-24.9449717258219,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn1:cast1:niskin:5:P1:Ctot,GoA2019_Stn1:cast1:niskin:5:P1,total_C,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP011/,201.488092438451,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn1:cast1:niskin:5:P1:d15N,GoA2019_Stn1:cast1:niskin:5:P1,d15N_air,http://vocab.nerc.ac.uk/collection/P01/current/D15NOPXX/,4.28610269342607,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn1:cast1:niskin:5:P1:Ntot,GoA2019_Stn1:cast1:niskin:5:P1,total_N,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP013/,23.7856947500808,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn1:cast1:niskin:5:P2:vol,GoA2019_Stn1:cast1:niskin:5:P2,volume_filtered,http://vocab.nerc.ac.uk/collection/S03/current/S0393/,2000,mL,http://vocab.nerc.ac.uk/collection/P06/current/VVML/,NA
GoA2019_Stn1:cast1:niskin:5:P2:acid,GoA2019_Stn1:cast1:niskin:5:P2,acidified,http://vocab.nerc.ac.uk/collection/S03/current/S0366,yes,NA,NA,NA
GoA2019_Stn1:cast1:niskin:5:P2:d13C,GoA2019_Stn1:cast1:niskin:5:P2,d13C_VPDB,http://vocab.nerc.ac.uk/collection/P01/current/D13COPXX/,-25.8269827600615,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn1:cast1:niskin:5:P2:Ctot,GoA2019_Stn1:cast1:niskin:5:P2,total_C,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP011/,143.255835334468,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn1:cast1:niskin:5:P2:d15N,GoA2019_Stn1:cast1:niskin:5:P2,d15N_air,http://vocab.nerc.ac.uk/collection/P01/current/D15NOPXX/,3.87150104519815,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn1:cast1:niskin:5:P2:Ntot,GoA2019_Stn1:cast1:niskin:5:P2,total_N,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP013/,19.1693440245681,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,Precision decreases for samples containing less than 20ugN
GoA2019_Stn2:cast1:niskin:5:#3:vol,GoA2019_Stn2:cast1:niskin:5:#3,volume_filtered,http://vocab.nerc.ac.uk/collection/S03/current/S0393/,2000,mL,http://vocab.nerc.ac.uk/collection/P06/current/VVML/,NA
GoA2019_Stn2:cast1:niskin:5:#3:acid,GoA2019_Stn2:cast1:niskin:5:#3,acidified,http://vocab.nerc.ac.uk/collection/S03/current/S0366,no,NA,NA,NA
GoA2019_Stn2:cast1:niskin:5:#3:d13C,GoA2019_Stn2:cast1:niskin:5:#3,d13C_VPDB,http://vocab.nerc.ac.uk/collection/P01/current/D13COPXX/,-25.3843760714223,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn2:cast1:niskin:5:#3:Ctot,GoA2019_Stn2:cast1:niskin:5:#3,total_C,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP011/,113.876506883413,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn2:cast1:niskin:5:#3:d15N,GoA2019_Stn2:cast1:niskin:5:#3,d15N_air,http://vocab.nerc.ac.uk/collection/P01/current/D15NOPXX/,5.09148615598171,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn2:cast1:niskin:5:#3:Ntot,GoA2019_Stn2:cast1:niskin:5:#3,total_N,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP013/,26.5208457171676,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn2:cast1:niskin:5:#4:vol,GoA2019_Stn2:cast1:niskin:5:#4,volume_filtered,http://vocab.nerc.ac.uk/collection/S03/current/S0393/,2000,mL,http://vocab.nerc.ac.uk/collection/P06/current/VVML/,NA
GoA2019_Stn2:cast1:niskin:5:#4:acid,GoA2019_Stn2:cast1:niskin:5:#4,acidified,http://vocab.nerc.ac.uk/collection/S03/current/S0366,yes,NA,NA,NA
GoA2019_Stn2:cast1:niskin:5:#4:d13C,GoA2019_Stn2:cast1:niskin:5:#4,d13C_VPDB,http://vocab.nerc.ac.uk/collection/P01/current/D13COPXX/,-25.9834036426919,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn2:cast1:niskin:5:#4:Ctot,GoA2019_Stn2:cast1:niskin:5:#4,total_C,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP011/,126.321605299049,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn2:cast1:niskin:5:#4:d15N,GoA2019_Stn2:cast1:niskin:5:#4,d15N_air,http://vocab.nerc.ac.uk/collection/P01/current/D15NOPXX/,4.49061876123979,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn2:cast1:niskin:5:#4:Ntot,GoA2019_Stn2:cast1:niskin:5:#4,total_N,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP013/,27.2971593392936,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn3:cast1:niskin:5:P3:vol,GoA2019_Stn3:cast1:niskin:5:P3,volume_filtered,http://vocab.nerc.ac.uk/collection/S03/current/S0393/,2000,mL,http://vocab.nerc.ac.uk/collection/P06/current/VVML/,NA
GoA2019_Stn3:cast1:niskin:5:P3:acid,GoA2019_Stn3:cast1:niskin:5:P3,acidified,http://vocab.nerc.ac.uk/collection/S03/current/S0366,no,NA,NA,NA
GoA2019_Stn3:cast1:niskin:5:P3:d13C,GoA2019_Stn3:cast1:niskin:5:P3,d13C_VPDB,http://vocab.nerc.ac.uk/collection/P01/current/D13COPXX/,-24.3141297373358,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn3:cast1:niskin:5:P3:Ctot,GoA2019_Stn3:cast1:niskin:5:P3,total_C,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP011/,161.805606534478,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn3:cast1:niskin:5:P3:d15N,GoA2019_Stn3:cast1:niskin:5:P3,d15N_air,http://vocab.nerc.ac.uk/collection/P01/current/D15NOPXX/,6.12121356628652,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn3:cast1:niskin:5:P3:Ntot,GoA2019_Stn3:cast1:niskin:5:P3,total_N,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP013/,25.5553165345033,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn3:cast1:niskin:5:P4:vol,GoA2019_Stn3:cast1:niskin:5:P4,volume_filtered,http://vocab.nerc.ac.uk/collection/S03/current/S0393/,2000,mL,http://vocab.nerc.ac.uk/collection/P06/current/VVML/,NA
GoA2019_Stn3:cast1:niskin:5:P4:acid,GoA2019_Stn3:cast1:niskin:5:P4,acidified,http://vocab.nerc.ac.uk/collection/S03/current/S0366,yes,NA,NA,NA
GoA2019_Stn3:cast1:niskin:5:P4:d13C,GoA2019_Stn3:cast1:niskin:5:P4,d13C_VPDB,http://vocab.nerc.ac.uk/collection/P01/current/D13COPXX/,-25.0805706074112,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn3:cast1:niskin:5:P4:Ctot,GoA2019_Stn3:cast1:niskin:5:P4,total_C,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP011/,195.922275063988,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn3:cast1:niskin:5:P4:d15N,GoA2019_Stn3:cast1:niskin:5:P4,d15N_air,http://vocab.nerc.ac.uk/collection/P01/current/D15NOPXX/,5.76731074194224,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn3:cast1:niskin:5:P4:Ntot,GoA2019_Stn3:cast1:niskin:5:P4,total_N,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP013/,32.9975590190468,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn4:cast1:niskin:5:P5:vol,GoA2019_Stn4:cast1:niskin:5:P5,volume_filtered,http://vocab.nerc.ac.uk/collection/S03/current/S0393/,2000,mL,http://vocab.nerc.ac.uk/collection/P06/current/VVML/,NA
GoA2019_Stn4:cast1:niskin:5:P5:acid,GoA2019_Stn4:cast1:niskin:5:P5,acidified,http://vocab.nerc.ac.uk/collection/S03/current/S0366,no,NA,NA,NA
GoA2019_Stn4:cast1:niskin:5:P5:d13C,GoA2019_Stn4:cast1:niskin:5:P5,d13C_VPDB,http://vocab.nerc.ac.uk/collection/P01/current/D13COPXX/,-24.3238803806586,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn4:cast1:niskin:5:P5:Ctot,GoA2019_Stn4:cast1:niskin:5:P5,total_C,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP011/,147.412970714408,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn4:cast1:niskin:5:P5:d15N,GoA2019_Stn4:cast1:niskin:5:P5,d15N_air,http://vocab.nerc.ac.uk/collection/P01/current/D15NOPXX/,5.88011478294465,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn4:cast1:niskin:5:P5:Ntot,GoA2019_Stn4:cast1:niskin:5:P5,total_N,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP013/,24.4038012435572,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn4:cast1:niskin:5:P6:vol,GoA2019_Stn4:cast1:niskin:5:P6,volume_filtered,http://vocab.nerc.ac.uk/collection/S03/current/S0393/,1550,mL,http://vocab.nerc.ac.uk/collection/P06/current/VVML/,NA
GoA2019_Stn4:cast1:niskin:5:P6:acid,GoA2019_Stn4:cast1:niskin:5:P6,acidified,http://vocab.nerc.ac.uk/collection/S03/current/S0366,yes,NA,NA,NA
GoA2019_Stn4:cast1:niskin:5:P6:d13C,GoA2019_Stn4:cast1:niskin:5:P6,d13C_VPDB,http://vocab.nerc.ac.uk/collection/P01/current/D13COPXX/,-25.0451012537351,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn4:cast1:niskin:5:P6:Ctot,GoA2019_Stn4:cast1:niskin:5:P6,total_C,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP011/,140.49005681433,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn4:cast1:niskin:5:P6:d15N,GoA2019_Stn4:cast1:niskin:5:P6,d15N_air,http://vocab.nerc.ac.uk/collection/P01/current/D15NOPXX/,5.34077426796688,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn4:cast1:niskin:5:P6:Ntot,GoA2019_Stn4:cast1:niskin:5:P6,total_N,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP013/,37.2570738666074,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn5:cast1:niskin:5:P7:vol,GoA2019_Stn5:cast1:niskin:5:P7,volume_filtered,http://vocab.nerc.ac.uk/collection/S03/current/S0393/,2000,mL,http://vocab.nerc.ac.uk/collection/P06/current/VVML/,NA
GoA2019_Stn5:cast1:niskin:5:P7:acid,GoA2019_Stn5:cast1:niskin:5:P7,acidified,http://vocab.nerc.ac.uk/collection/S03/current/S0366,no,NA,NA,NA
GoA2019_Stn5:cast1:niskin:5:P7:d13C,GoA2019_Stn5:cast1:niskin:5:P7,d13C_VPDB,http://vocab.nerc.ac.uk/collection/P01/current/D13COPXX/,-24.9825154602805,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn5:cast1:niskin:5:P7:Ctot,GoA2019_Stn5:cast1:niskin:5:P7,total_C,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP011/,113.876506883413,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,NA
GoA2019_Stn5:cast1:niskin:5:P7:d15N,GoA2019_Stn5:cast1:niskin:5:P7,d15N_air,http://vocab.nerc.ac.uk/collection/P01/current/D15NOPXX/,2.10259496750356,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
GoA2019_Stn5:cast1:niskin:5:P7:Ntot,GoA2019_Stn5:cast1:niskin:5:P7,total_N,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP013/,16.858352850665,ug,http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,Precision decreases for samples containing less than 20ugN
GoA2019_Stn5:cast1:niskin:5:P8:vol,GoA2019_Stn5:cast1:niskin:5:P8,volume_filtered,http://vocab.nerc.ac.uk/collection/S03/current/S0393/,2000,mL,http://vocab.nerc.ac.uk/collection/P06/current/VVML/,NA
GoA2019_Stn5:cast1:niskin:5:P8:acid,GoA2019_Stn5:cast1:niskin:5:P8,acidified,http://vocab.nerc.ac.uk/collection/S03/current/S0366,yes,NA,NA,NA
GoA2019_Stn5:cast1:niskin:5:P8:d13C,GoA2019_Stn5:cast1:niskin:5:P8,d13C_VPDB,http://vocab.nerc.ac.uk/collection/P01/current/D13COPXX/,-24.9559165534882,ppt,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,NA
