eventID,scientificName,scientificNameID,occurrenceStatus,sex,lifeStage,basisOfRecord,institutionCode,collectionCode,catalogNumber,preparations,occurrenceID
npmsdd-44-1972-pr2,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1972-pr2
npmsdd-44-1973-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1973-p
npmsdd-44-1973-pr1,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1973-pr1
npmsdd-44-1974-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1974-p
npmsdd-44-1974-pr1,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1974-pr1
npmsdd-44-1975-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,immature,PreservedSpecimen, , , , ,npmsdd-44-1975-p
npmsdd-44-1975-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1975-pr1
npmsdd-44-1976-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,immature,PreservedSpecimen, , , , ,npmsdd-44-1976-p
npmsdd-44-1976-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1976-pr1
npmsdd-44-1976-pr2,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1976-pr2
npmsdd-44-1977-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,NA,PreservedSpecimen, , , , ,npmsdd-44-1977-p
npmsdd-44-1977-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1977-pr1
npmsdd-44-1978-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,immature,PreservedSpecimen, , , , ,npmsdd-44-1978-p
npmsdd-44-1978-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1978-pr1
npmsdd-44-1979-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,NA,PreservedSpecimen, , , , ,npmsdd-44-1979-p
npmsdd-44-1979-pr1,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1979-pr1
npmsdd-44-1979-pr2,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1979-pr2
npmsdd-44-1980-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,NA,PreservedSpecimen, , , , ,npmsdd-44-1980-p
npmsdd-44-1980-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1980-pr1
npmsdd-44-1981-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,NA,PreservedSpecimen, , , , ,npmsdd-44-1981-p
npmsdd-44-1981-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1981-pr1
npmsdd-44-1981-pr2,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1981-pr2
npmsdd-44-1982-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1982-p
npmsdd-44-1982-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1982-pr1
npmsdd-44-1983-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1983-p
npmsdd-44-1983-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1983-pr1
npmsdd-44-1984-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1984-p
npmsdd-44-1984-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1984-pr1
npmsdd-44-1985-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1985-p
npmsdd-44-1985-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1985-pr1
npmsdd-44-1986-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1986-p
