eventID,measurementID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,measurementValueID
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_minimum,NA,NA,0.2,NA,NA,NA
