eventID,parentEventID,eventDate,year,month,day,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol,locality,locationID,type,fieldNotes
IYS:GoA2019_Stn31:trawl:sample:1204,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1205,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1206,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1207,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1208,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1209,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1210,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1211,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1212,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1213,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1214,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1215,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1216,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1217,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1218,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1219,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1220,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1221,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1222,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1223,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1224,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1225,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1226,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1227,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1228,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
