eventID,parentEventID,eventDate,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,year,month,day
IYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020,IYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn1,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn2,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn3,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn4,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn6,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn7,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn8,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn9,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn10,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn11,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn12,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn13,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn14,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn16,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn17,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn18,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn20,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn21,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn22,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn23,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn24,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn25,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn26,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn27,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn28,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn37:Sample:W2061,IYS:GoA2020_Stn37,2020-04-01T00:00:00Z,49.38250026515457,-141.4999956878297,"LINESTRING ( -141.505 49.425 , -141.495 49.34 )",4740.65050831519, , ,2020,4,1
IYS:GoA2020_Stn38:Sample:W2097,IYS:GoA2020_Stn38,2020-04-01T00:00:00Z,48.38501278557352,-141.43747877800888,"LINESTRING ( -141.491666666667 48.405 , -141.383333333333 48.365 )",4587.203533307268, , ,2020,4,1
IYS:GoA2020_Stn39:Sample:W2099,IYS:GoA2020_Stn39,2020-04-02T00:00:00Z,48.410840360105816,-139.9816895419501,"LINESTRING ( -140.021666666667 48.3816666666667 , -139.941666666667 48.44 )",4391.789234327485, , ,2020,4,2
IYS:GoA2020_Stn40:Sample:W2065,IYS:GoA2020_Stn40,2020-04-02T00:00:00Z,48.39834611817927,-138.45914543469328,"LINESTRING ( -138.513333333333 48.4183333333333 , -138.405 48.3783333333333 )",4586.289450937497, , ,2020,4,2
IYS:GoA2020_Stn41:Sample:W2095,IYS:GoA2020_Stn41,2020-04-02T00:00:00Z,47.4116743172231,-138.51664300460143,"LINESTRING ( -138.475 47.3816666666667 , -138.558333333333 47.4416666666667 )",4583.996847819076, , ,2020,4,2
IYS:GoA2020_Stn42:Sample:W2067,IYS:GoA2020_Stn42,2020-04-03T00:00:00Z,46.37833795762632,-138.45250494415322,"LINESTRING ( -138.485 46.37 , -138.42 46.3866666666667 )",2666.418941503897, , ,2020,4,3
IYS:GoA2020_Stn43:Sample:W2069,IYS:GoA2020_Stn43,2020-04-03T00:00:00Z,47.40251658846843,-137.0249931927762,"LINESTRING ( -136.963333333333 47.3966666666667 , -137.086666666667 47.4083333333333 )",4699.744166190797, , ,2020,4,3
IYS:GoA2020_Stn44:Sample:W2073,IYS:GoA2020_Stn44,2020-04-04T00:00:00Z,47.39501527441058,-135.35749067209468,"LINESTRING ( -135.416666666667 47.4033333333333 , -135.298333333333 47.3866666666667 )",4561.7822382927, , ,2020,4,4
IYS:GoA2020_Stn45:Sample:W2075,IYS:GoA2020_Stn45,2020-04-04T00:00:00Z,47.38501243080222,-133.92831652273807,"LINESTRING ( -133.981666666667 47.4016666666667 , -133.875 47.3683333333333 )",4432.9400492213845, , ,2020,4,4
IYS:GoA2020_Stn46:Sample:W2077,IYS:GoA2020_Stn46,2020-04-04T00:00:00Z,47.400014428796574,-132.4508224532445,"LINESTRING ( -132.508333333333 47.41 , -132.393333333333 47.39 )",4480.601074982409, , ,2020,4,4
IYS:GoA2020_Stn47:Sample:W2079,IYS:GoA2020_Stn47,2020-04-05T00:00:00Z,48.39251566183377,-131.00831667782643,"LINESTRING ( -131.068333333333 48.4066666666667 , -130.948333333333 48.3783333333333 )",4714.42961249107, , ,2020,4,5
