occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementMethod
IYS:GoA2020_Stn4:trawl:occ-26,IYS:GoA2020_Stn4:trawl:occ-26-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn4:trawl:occ-26,IYS:GoA2020_Stn4:trawl:occ-26-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.001,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn4:trawl:occ-27,IYS:GoA2020_Stn4:trawl:occ-27-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,15,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn4:trawl:occ-27,IYS:GoA2020_Stn4:trawl:occ-27-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,1.754,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn4:trawl:occ-28,IYS:GoA2020_Stn4:trawl:occ-28-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,NA,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2020_Stn4:trawl:occ-28,IYS:GoA2020_Stn4:trawl:occ-28-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.004,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn5:trawl:occ-29,IYS:GoA2020_Stn5:trawl:occ-29-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn5:trawl:occ-29,IYS:GoA2020_Stn5:trawl:occ-29-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,NA,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,NA
IYS:GoA2020_Stn5:trawl:occ-30,IYS:GoA2020_Stn5:trawl:occ-30-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,NA,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2020_Stn5:trawl:occ-30,IYS:GoA2020_Stn5:trawl:occ-30-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,NA,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,NA
