eventID,occurrenceID,occurrenceStatus,organismQuantity,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,lifeStage
IYS:GoA2020_Stn5:trawl,IYS:GoA2020_Stn5:trawl:occ:39,present,59,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",accepted,Species,271040,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA
IYS:GoA2020_Stn6:trawl,IYS:GoA2020_Stn6:trawl:occ:40,present,14,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,106344,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,NA
IYS:GoA2020_Stn6:trawl,IYS:GoA2020_Stn6:trawl:occ:41,present,1,Pterotrachea,urn:lsid:marinespecies.org:taxname:138009,"Forsskål, 1775",accepted,Genus,225072,Animalia,Mollusca,Gastropoda,Littorinimorpha,Pterotracheidae,Pterotrachea,NA
IYS:GoA2020_Stn6:trawl,IYS:GoA2020_Stn6:trawl:occ:42,present,23,Corolla,urn:lsid:marinespecies.org:taxname:137873,"Dall, 1871",accepted,Genus,411909,Animalia,Mollusca,Gastropoda,Pteropoda,Cymbuliidae,Corolla,NA
IYS:GoA2020_Stn6:trawl,IYS:GoA2020_Stn6:trawl:occ:43,present,2,Pollicipes pollicipes,urn:lsid:marinespecies.org:taxname:106177,"(Gmelin, 1791 [in Gmelin, 1788-1792])",accepted,Species,106101,Animalia,Arthropoda,Hexanauplia,Scalpelliformes,Pollicipedidae,Pollicipes,NA
IYS:GoA2020_Stn7:trawl,IYS:GoA2020_Stn7:trawl:occ:44,present,2,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,NA
IYS:GoA2020_Stn7:trawl,IYS:GoA2020_Stn7:trawl:occ:45,present,6,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,"McGowan & Okutani, 1968",alternate representation,Species,137931,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA
IYS:GoA2020_Stn7:trawl,IYS:GoA2020_Stn7:trawl:occ:46,present,6,Okutania anonycha,urn:lsid:marinespecies.org:taxname:1468871,"(Pearcy & Voss, 1963)",unaccepted,Species,1468848,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Okutania,NA
IYS:GoA2020_Stn7:trawl,IYS:GoA2020_Stn7:trawl:occ:47,present,395,Corolla,urn:lsid:marinespecies.org:taxname:137873,"Dall, 1871",accepted,Genus,411909,Animalia,Mollusca,Gastropoda,Pteropoda,Cymbuliidae,Corolla,NA
IYS:GoA2020_Stn7:trawl,IYS:GoA2020_Stn7:trawl:occ:48,present,17,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,106344,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,NA
