eventID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2020_Stn:2:bongo:Net2,IYS:GoA2020_Stn:2:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,"NA",NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:2:bongo:Net2,IYS:GoA2020_Stn:2:bongo:Net2:Volume filtered as estimated by flowmeter,Volume filtered as estimated by flowmeter,NA,"NA",NA,NA,NA
IYS:GoA2020_Stn:2:bongo:Net2,IYS:GoA2020_Stn:2:bongo:Net2:Volume filtered as estimated by depth-estimate,Volume filtered as estimated by depth-estimate,NA,"NA",NA,NA,NA
IYS:GoA2020_Stn:2:bongo:Net2,IYS:GoA2020_Stn:2:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,meter per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:3:bongo:Net1,IYS:GoA2020_Stn:3:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,407.1952552,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:3:bongo:Net1,IYS:GoA2020_Stn:3:bongo:Net1:Volume filtered as estimated by flowmeter,Volume filtered as estimated by flowmeter,NA,79.91206883,NA,NA,NA
IYS:GoA2020_Stn:3:bongo:Net1,IYS:GoA2020_Stn:3:bongo:Net1:Volume filtered as estimated by depth-estimate,Volume filtered as estimated by depth-estimate,NA,49.0625,NA,NA,NA
IYS:GoA2020_Stn:3:bongo:Net1,IYS:GoA2020_Stn:3:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,meter per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:3:bongo:Net2,IYS:GoA2020_Stn:3:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,474.2728263,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:3:bongo:Net2,IYS:GoA2020_Stn:3:bongo:Net2:Volume filtered as estimated by flowmeter,Volume filtered as estimated by flowmeter,NA,93.07604216,NA,NA,NA
