eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2020_Stn:13:bongo:Net2,NA,IYS:GoA2020_Stn:13:bongo:Net2:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:13:bongo:Net2,NA,IYS:GoA2020_Stn:13:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:14:bongo:Net1,NA,IYS:GoA2020_Stn:14:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,269.3046233,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:14:bongo:Net1,NA,IYS:GoA2020_Stn:14:bongo:Net1:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,52.85103232,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:14:bongo:Net1,NA,IYS:GoA2020_Stn:14:bongo:Net1:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:14:bongo:Net1,NA,IYS:GoA2020_Stn:14:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:14:bongo:Net2,NA,IYS:GoA2020_Stn:14:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,263.2848413,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:14:bongo:Net2,NA,IYS:GoA2020_Stn:14:bongo:Net2:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,51.6696501,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:14:bongo:Net2,NA,IYS:GoA2020_Stn:14:bongo:Net2:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:14:bongo:Net2,NA,IYS:GoA2020_Stn:14:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:15:bongo:Net1,NA,IYS:GoA2020_Stn:15:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,259.3881074,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:15:bongo:Net1,NA,IYS:GoA2020_Stn:15:bongo:Net1:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,50.90491607,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:15:bongo:Net1,NA,IYS:GoA2020_Stn:15:bongo:Net1:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:15:bongo:Net1,NA,IYS:GoA2020_Stn:15:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:15:bongo:Net2,NA,IYS:GoA2020_Stn:15:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,245.5748576,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:15:bongo:Net2,NA,IYS:GoA2020_Stn:15:bongo:Net2:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,48.1940658,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:15:bongo:Net2,NA,IYS:GoA2020_Stn:15:bongo:Net2:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:15:bongo:Net2,NA,IYS:GoA2020_Stn:15:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:16:bongo:Net1,NA,IYS:GoA2020_Stn:16:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,106.8242568,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:16:bongo:Net1,NA,IYS:GoA2020_Stn:16:bongo:Net1:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,20.9642604,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:16:bongo:Net1,NA,IYS:GoA2020_Stn:16:bongo:Net1:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:16:bongo:Net1,NA,IYS:GoA2020_Stn:16:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:16:bongo:Net2,NA,IYS:GoA2020_Stn:16:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,251.2721513,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:16:bongo:Net2,NA,IYS:GoA2020_Stn:16:bongo:Net2:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,49.31215969,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:16:bongo:Net2,NA,IYS:GoA2020_Stn:16:bongo:Net2:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:16:bongo:Net2,NA,IYS:GoA2020_Stn:16:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:21:bongo:Net1,NA,IYS:GoA2020_Stn:21:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,67.66879967,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:21:bongo:Net1,NA,IYS:GoA2020_Stn:21:bongo:Net1:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,13.28000194,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:21:bongo:Net1,NA,IYS:GoA2020_Stn:21:bongo:Net1:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:21:bongo:Net1,NA,IYS:GoA2020_Stn:21:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:21:bongo:Net2,NA,IYS:GoA2020_Stn:21:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,225.2580933,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:21:bongo:Net2,NA,IYS:GoA2020_Stn:21:bongo:Net2:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,44.2069008,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:21:bongo:Net2,NA,IYS:GoA2020_Stn:21:bongo:Net2:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:21:bongo:Net2,NA,IYS:GoA2020_Stn:21:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:22:bongo:Net1,NA,IYS:GoA2020_Stn:22:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,208.004968,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:22:bongo:Net1,NA,IYS:GoA2020_Stn:22:bongo:Net1:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,40.82097497,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:22:bongo:Net1,NA,IYS:GoA2020_Stn:22:bongo:Net1:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:22:bongo:Net1,NA,IYS:GoA2020_Stn:22:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
