eventID,parentEventID,eventDate,decimalLatitude,decimalLongitude,minimumDepthInMetres,maximumDepthInMetres,sampleSizeValue,eventRemarks,sampleSizeUnit,samplingProtocol,samplingEffort,footprintWKT,coordinateUncertaintyInMeters,type,geodeticDatum
IYS:GoA2020_Stn:10:bongo:Net2,IYS:GoA2020_Stn:10,2020-03-18T12:49:00Z,48.4213333333333,-145.994,250,250,43.09408094,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -145.994   48.4213333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:11:bongo:Net1,IYS:GoA2020_Stn:11,2020-03-18T21:17:00Z,48.4013333333333,-147.4955,250,250,45.33026872,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -147.4955   48.4013333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:11:bongo:Net2,IYS:GoA2020_Stn:11,2020-03-18T21:17:00Z,48.4013333333333,-147.4955,250,250,43.15209525,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -147.4955   48.4013333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:12:bongo:Net1,IYS:GoA2020_Stn:12,2020-03-19T06:10:00Z,49.4176666666667,-147.53416666666666,250,250,52.60315302,Decent angle on wire during bongo cast,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -147.534166666667   49.4176666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:12:bongo:Net2,IYS:GoA2020_Stn:12,2020-03-19T06:10:00Z,49.4176666666667,-147.53416666666666,250,250,54.39632246,Decent angle on wire during bongo cast,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -147.534166666667   49.4176666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:13:bongo:Net1,IYS:GoA2020_Stn:13,2020-03-19T17:20:00Z,50.4156666666667,-147.51266666666666,250,250,60.51419468,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -147.512666666667   50.4156666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:13:bongo:Net2,IYS:GoA2020_Stn:13,2020-03-19T17:20:00Z,50.4156666666667,-147.51266666666666,250,250,64.11108162,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -147.512666666667   50.4156666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:14:bongo:Net1,IYS:GoA2020_Stn:14,2020-03-20T05:22:00Z,51.4173333333333,-147.50066666666666,250,250,52.85103232,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -147.500666666667   51.4173333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:14:bongo:Net2,IYS:GoA2020_Stn:14,2020-03-20T05:22:00Z,51.4173333333333,-147.50066666666666,250,250,51.6696501,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -147.500666666667   51.4173333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:15:bongo:Net1,IYS:GoA2020_Stn:15,2020-03-20T14:10:00Z,51.4281666666667,-146.01616666666666,250,250,50.90491607,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -146.016166666667   51.4281666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:15:bongo:Net2,IYS:GoA2020_Stn:15,2020-03-20T14:10:00Z,51.4281666666667,-146.01616666666666,250,250,48.1940658,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -146.016166666667   51.4281666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:16:bongo:Net1,IYS:GoA2020_Stn:16,2020-03-21T01:10:00Z,50.431,-146.00583333333333,250,250,20.9642604,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -146.005833333333   50.431 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:16:bongo:Net2,IYS:GoA2020_Stn:16,2020-03-21T01:10:00Z,50.431,-146.00583333333333,250,250,49.31215969,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -146.005833333333   50.431 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:21:bongo:Net1,IYS:GoA2020_Stn:21,2020-03-21T09:55:00Z,50.4173333333333,-144.5095,250,250,13.28000194,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -144.5095   50.4173333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:21:bongo:Net2,IYS:GoA2020_Stn:21,2020-03-21T09:55:00Z,50.4173333333333,-144.5095,250,250,44.2069008,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -144.5095   50.4173333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:22:bongo:Net1,IYS:GoA2020_Stn:22,2020-03-21T19:05:00Z,51.4911666666667,-144.53816666666665,250,250,40.82097497,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -144.538166666667   51.4911666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
