eventID,occurrenceID,occurrenceStatus,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonomicRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,basisOfRecord,organismQuantity,organismQuantityType
GoA2019_Stn8:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn8:trawl1:Oncorhynchus kisutch:1-pr3,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,"Linnaeus, 1767",accepted,Species,137751,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,HumanObservation,NA,NA
GoA2019_Stn8:trawl1:Oncorhynchus kisutch:2,GoA2019_Stn8:trawl1:Oncorhynchus kisutch:2-p,present,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,6,stomachs
GoA2019_Stn8:trawl1:Oncorhynchus kisutch:2,GoA2019_Stn8:trawl1:Oncorhynchus kisutch:2-pr1,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,HumanObservation,NA,NA
GoA2019_Stn8:trawl1:Oncorhynchus kisutch:2,GoA2019_Stn8:trawl1:Oncorhynchus kisutch:2-pr2,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,"Linnaeus, 1767",accepted,Species,137751,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,HumanObservation,NA,NA
GoA2019_Stn9:trawl1:Oncorhynchus keta:1,GoA2019_Stn9:trawl1:Oncorhynchus keta:1-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,1,stomachs
GoA2019_Stn9:trawl1:Oncorhynchus keta:1,GoA2019_Stn9:trawl1:Oncorhynchus keta:1-pr1,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,"(Stebbing, 1888)",accepted,Species,101800,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,HumanObservation,NA,NA
GoA2019_Stn10:trawl1:Oncorhynchus keta:1,GoA2019_Stn10:trawl1:Oncorhynchus keta:1-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,1,stomachs
GoA2019_Stn10:trawl1:Oncorhynchus keta:1,GoA2019_Stn10:trawl1:Oncorhynchus keta:1-pr1,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,"(Stebbing, 1888)",accepted,Species,101800,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,HumanObservation,NA,NA
GoA2019_Stn10:trawl1:Oncorhynchus keta:1,GoA2019_Stn10:trawl1:Oncorhynchus keta:1-pr2,present,Coelenterata,urn:lsid:marinespecies.org:taxname:152230,NA,nomen nudum,Phylum,2,Animalia,Coelenterata,NA,NA,NA,NA,HumanObservation,NA,NA
GoA2019_Stn10:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn10:trawl1:Oncorhynchus kisutch:1-p,present,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,2,stomachs
GoA2019_Stn10:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn10:trawl1:Oncorhynchus kisutch:1-pr1,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,"(Stebbing, 1888)",accepted,Species,101800,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,HumanObservation,NA,NA
GoA2019_Stn10:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn10:trawl1:Oncorhynchus kisutch:1-pr2,present,Primno macropa,urn:lsid:marinespecies.org:taxname:180759,"Guérin-Méneville, 1836",accepted,Species,101806,Animalia,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Primno,HumanObservation,NA,NA
GoA2019_Stn10:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn10:trawl1:Oncorhynchus kisutch:1-pr3,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,"Linnaeus, 1767",accepted,Species,137751,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,HumanObservation,NA,NA
GoA2019_Stn10:trawl1:Oncorhynchus kisutch:2,GoA2019_Stn10:trawl1:Oncorhynchus kisutch:2-p,present,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,2,stomachs
GoA2019_Stn10:trawl1:Oncorhynchus kisutch:2,GoA2019_Stn10:trawl1:Oncorhynchus kisutch:2-pr1,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,"Linnaeus, 1767",accepted,Species,137751,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,HumanObservation,NA,NA
GoA2019_Stn11:trawl1:Oncorhynchus keta:1,GoA2019_Stn11:trawl1:Oncorhynchus keta:1-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,3,stomachs
GoA2019_Stn11:trawl1:Oncorhynchus keta:1,GoA2019_Stn11:trawl1:Oncorhynchus keta:1-pr1,present,Tomopteris,urn:lsid:marinespecies.org:taxname:129715,"Eschscholtz, 1825",accepted,Genus,958,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,HumanObservation,NA,NA
GoA2019_Stn11:trawl1:Oncorhynchus keta:1,GoA2019_Stn11:trawl1:Oncorhynchus keta:1-pr2,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,HumanObservation,NA,NA
GoA2019_Stn11:trawl1:Oncorhynchus keta:2,GoA2019_Stn11:trawl1:Oncorhynchus keta:2-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,3,stomachs
GoA2019_Stn11:trawl1:Oncorhynchus keta:2,GoA2019_Stn11:trawl1:Oncorhynchus keta:2-pr1,present,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",accepted,Species,110673,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,HumanObservation,NA,NA
GoA2019_Stn11:trawl1:Oncorhynchus keta:2,GoA2019_Stn11:trawl1:Oncorhynchus keta:2-pr2,present,Coelenterata,urn:lsid:marinespecies.org:taxname:152230,NA,nomen nudum,Phylum,2,Animalia,Coelenterata,NA,NA,NA,NA,HumanObservation,NA,NA
GoA2019_Stn11:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn11:trawl1:Oncorhynchus kisutch:1-p,present,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,2,stomachs
GoA2019_Stn11:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn11:trawl1:Oncorhynchus kisutch:1-pr1,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,HumanObservation,NA,NA
GoA2019_Stn11:trawl1:Oncorhynchus nerka:1,GoA2019_Stn11:trawl1:Oncorhynchus nerka:1-p,present,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,3,stomachs
GoA2019_Stn11:trawl1:Oncorhynchus nerka:1,GoA2019_Stn11:trawl1:Oncorhynchus nerka:1-pr1,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,HumanObservation,NA,NA
GoA2019_Stn11:trawl1:Oncorhynchus nerka:2,GoA2019_Stn11:trawl1:Oncorhynchus nerka:2-p,present,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,3,stomachs
GoA2019_Stn11:trawl1:Oncorhynchus nerka:2,GoA2019_Stn11:trawl1:Oncorhynchus nerka:2-pr1,present,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",accepted,Species,271040,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,HumanObservation,NA,NA
GoA2019_Stn11:trawl1:Oncorhynchus nerka:2,GoA2019_Stn11:trawl1:Oncorhynchus nerka:2-pr2,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,"Linnaeus, 1767",accepted,Species,137751,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,HumanObservation,NA,NA
