occurrenceID,measurementType,measurementValue,measurementID,measurementTypeID,measurementUnit,measurementUnitID,measurementValueID
IYS:GoA2019_Stn1:bongo_occ:15,abund_m3_flow_est,0.7547169811,IYS:GoA2019_Stn1:bongo_occ:15:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:15,abund_m3_depth_est,0.6518639234,IYS:GoA2019_Stn1:bongo_occ:15:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:16,stage,C5,IYS:GoA2019_Stn1:bongo_occ:16:stage, ,NA,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1112/
IYS:GoA2019_Stn1:bongo_occ:16,sex,NA,IYS:GoA2019_Stn1:bongo_occ:16:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:16,ind_counted,12,IYS:GoA2019_Stn1:bongo_occ:16:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:16,ind_total,192,IYS:GoA2019_Stn1:bongo_occ:16:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:16,abund_m3_flow_est,4.528301887,IYS:GoA2019_Stn1:bongo_occ:16:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:16,abund_m3_depth_est,3.91118354,IYS:GoA2019_Stn1:bongo_occ:16:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:17,stage,C4,IYS:GoA2019_Stn1:bongo_occ:17:stage, ,NA,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1110/
IYS:GoA2019_Stn1:bongo_occ:17,sex,NA,IYS:GoA2019_Stn1:bongo_occ:17:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:17,ind_counted,2,IYS:GoA2019_Stn1:bongo_occ:17:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:17,ind_total,32,IYS:GoA2019_Stn1:bongo_occ:17:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:17,abund_m3_flow_est,0.7547169811,IYS:GoA2019_Stn1:bongo_occ:17:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:17,abund_m3_depth_est,0.6518639234,IYS:GoA2019_Stn1:bongo_occ:17:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:18,stage,NA,IYS:GoA2019_Stn1:bongo_occ:18:stage, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:18,sex,NA,IYS:GoA2019_Stn1:bongo_occ:18:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:18,ind_counted,2,IYS:GoA2019_Stn1:bongo_occ:18:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:18,ind_total,32,IYS:GoA2019_Stn1:bongo_occ:18:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:18,abund_m3_flow_est,0.7547169811,IYS:GoA2019_Stn1:bongo_occ:18:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:18,abund_m3_depth_est,0.6518639234,IYS:GoA2019_Stn1:bongo_occ:18:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:19,stage,C4,IYS:GoA2019_Stn1:bongo_occ:19:stage, ,NA,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1110/
IYS:GoA2019_Stn1:bongo_occ:19,sex,NA,IYS:GoA2019_Stn1:bongo_occ:19:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:19,ind_counted,1,IYS:GoA2019_Stn1:bongo_occ:19:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:19,ind_total,16,IYS:GoA2019_Stn1:bongo_occ:19:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:19,abund_m3_flow_est,0.3773584906,IYS:GoA2019_Stn1:bongo_occ:19:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:19,abund_m3_depth_est,0.3259319617,IYS:GoA2019_Stn1:bongo_occ:19:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:20,stage,calyptopsis,IYS:GoA2019_Stn1:bongo_occ:20:stage, ,NA,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1118/
IYS:GoA2019_Stn1:bongo_occ:20,sex,NA,IYS:GoA2019_Stn1:bongo_occ:20:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:20,ind_counted,1,IYS:GoA2019_Stn1:bongo_occ:20:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:20,ind_total,16,IYS:GoA2019_Stn1:bongo_occ:20:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
