eventID,occurrenceID,scientificName,scientificNameID,parentNameUsageID,sex,lifeStage,kingdom,phylum,class,order,family,genus,occurrenceStatus,Preparations,occurrenceRemarks
IYS:GoA2019_Stn17:bongo:Net2:SS22,IYS_GoA2019_zocc80,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:SS23,IYS_GoA2019_zocc81,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:SS24,IYS_GoA2019_zocc82,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,110679,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:SS25,IYS_GoA2019_zocc83,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,110679,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,NA
IYS:GoA2019_Stn18:bongo:Net2:SS26,IYS_GoA2019_zocc84,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,110679,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,NA
IYS:GoA2019_Stn18:bongo:Net2:SS27,IYS_GoA2019_zocc85,Sagittoidea,urn:lsid:marinespecies.org:taxname:5949,2081,NA,"NA",Animalia,Chaetognatha,Sagittoidea,NA,NA,NA,present,size fractionated & frozen,NA
IYS:GoA2019_Stn19:bongo:Net1:Z290,IYS_GoA2019_zocc86,Beroe,urn:lsid:marinespecies.org:taxname:1434803,106317,NA,"NA",Animalia,Ctenophora,Nuda,Beroida,Beroidae,Beroe,present,formalin,NA
IYS:GoA2019_Stn19:bongo:Net1:Z290,IYS_GoA2019_zocc87,Beroe,urn:lsid:marinespecies.org:taxname:1434994,106317,NA,"NA",Animalia,Ctenophora,Nuda,Beroida,Beroidae,Beroe,present,formalin,NA
IYS:GoA2019_Stn19:bongo:Net1:Z290,IYS_GoA2019_zocc88,Beroe,urn:lsid:marinespecies.org:taxname:106331,106317,NA,"NA",Animalia,Ctenophora,Nuda,Beroida,Beroidae,Beroe,present,formalin,NA
IYS:GoA2019_Stn20:bongo:Net2:22017.0,IYS_GoA2019_zocc89,Euphausiidae,urn:lsid:marinespecies.org:taxname:110671,1128,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,present,size fractionated & frozen,NA
IYS:GoA2019_Stn20:bongo:Net2:22018.0,IYS_GoA2019_zocc90,Euphausiidae,urn:lsid:marinespecies.org:taxname:110671,1128,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,present,size fractionated & frozen,NA
IYS:GoA2019_Stn20:bongo:Net2:22019.0,IYS_GoA2019_zocc91,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,104155,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,size fractionated & frozen,NA
IYS:GoA2019_Stn20:bongo:Net2:SS28,IYS_GoA2019_zocc92,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn20:bongo:Net2:SS29,IYS_GoA2019_zocc93,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn20:bongo:Net2:SS30,IYS_GoA2019_zocc94,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,110679,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,NA
IYS:GoA2019_Stn20:bongo:Net2:SS31,IYS_GoA2019_zocc95,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,110679,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,NA
IYS:GoA2019_Stn20:bongo:Net2:SS33,IYS_GoA2019_zocc96,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,104155,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,size fractionated & frozen,NA
IYS:GoA2019_Stn20:bongo:Net2:SS34,IYS_GoA2019_zocc97,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,104155,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,size fractionated & frozen,NA
